bgg_id,name,mine,chatgpt,final,,,,
2914,Increase Value of Unchosen Resources,Other,Resource Management,Resource Management,,,,"'Resource Management',"
3003,Induction,Miscellaneous,,Miscellaneous,,,,"'Miscellaneous',"
2837,Interrupts,Other,Action,Miscellaneous,,,,"'Miscellaneous',"
2910,Investment,Investment,Resource Management,Investment,,,,"'Investment',"
2871,Kill Steal,Other,Combat and Conflict,Combat and Conflict,,,,"'Combat and Conflict',"
2886,King of the Hill,Other,Game Progression,Game Progression,,,,"'Game Progression',"
2980,Ladder Climbing,Movement,Movement,Movement,,,,"'Movement',"
3001,Layering,Other,Spatial,Spatial,,,,"'Spatial',"
2824,Legacy Game,Other,Game Progression,Miscellaneous,,,,"'Miscellaneous',"
2039,Line Drawing,Miscellaneous,Miscellaneous,Miscellaneous,,,,"'Miscellaneous',"
2975,Line of Sight,Combat and Conflict,Movement,Combat and Conflict,,,,"'Combat and Conflict',"
2904,Loans,Investment,Resource Management,Investment,,,,"'Investment',"
2836,Lose a Turn,Other,Action,Miscellaneous,,,,"'Miscellaneous',"
2955,Mancala,Movement,Movement,Movement,,,,"'Movement',"
2959,Map Addition,Map,Movement,Map,,,,"'Map',"
2961,Map Deformation,Map,Movement,Map,,,,"'Map',"
2960,Map Reduction,Map,Movement,Map,,,,"'Map',"
2900,Market,Resource Management,,Resource Management,,,,"'Resource Management',"
3007,Matching,Other,Game Progression,Matching,,,,"'Matching',"
2949,Measurement Movement,Movement,Movement,Movement,,,,"'Movement',"
2981,Melding and Splaying,Other,,Miscellaneous,,,,"'Miscellaneous',"
2047,Memory,Matching,Resource Management,Matching,,,,"'Matching',"
2863,Minimap Resolution,Map,,Map,,,,"'Map',"
2011,Modular Board,Variable game,Spatial,Variable game,,,,"'Variable game',"
2962,Move Through Deck,"Deck, Bag, and Pool Building",,"Deck, Bag, and Pool Building",,,,"'Deck, Bag, and Pool Building',"
2947,Movement Points,Movement,,Movement,,,,"'Movement',"
2963,Movement Template,Other,,Movement,,,,"'Movement',"
2958,Moving Multiple Units,Other,,Combat and Conflict,,,,"'Combat and Conflict',"
2965,Multiple Maps,Map,,Map,,,,"'Map',"
3099,Multi-Use Cards,"Deck, Bag, and Pool Building",,"Deck, Bag, and Pool Building",,,,"'Deck, Bag, and Pool Building',"
2851,Narrative Choice / Paragraph,Role Playing,,Role Playing,,,,"'Role Playing',"
2915,Negotiation,Negotiation,Social Interaction,Negotiation,,,,"'Negotiation',"
3104,Neighbor Scope,Other,,Miscellaneous,,,,"'Miscellaneous',"
2081,Network and Route Building,Resource Management,,Resource Management,,,,"'Resource Management',"
2846,Once-Per-Game Abilities,Asymetric Powers,Action,Asymetric Powers,,,,"'Asymetric Powers',"
2041,Open Drafting,Drafting,Resource Management,Drafting,,,,"'Drafting',"
2844,Order Counters,Other,,Miscellaneous,,,,"'Miscellaneous',"
3101,Ordering,Other,,Miscellaneous,,,,"'Miscellaneous',"
2911,Ownership,Control,Resource Management,Control,,,,"'Control',"
2055,Paper-and-Pencil,Miscellaneous,Miscellaneous,Miscellaneous,,,,"'Miscellaneous',"
2835,Passed Action Token,Other,Action,Miscellaneous,,,,"'Miscellaneous',"
2048,Pattern Building,Matching,Movement,Matching,,,,"'Matching',"
2946,Pattern Movement,Other,Movement,Matching,,,,"'Matching',"
2060,Pattern Recognition,Matching,Miscellaneous,Matching,,,,"'Matching',"
2989,Physical Removal,Other,Spatial,Spatial,,,,"'Spatial',"
2007,Pick-up and Deliver,Pick-up and Deliver,,Pick-up and Deliver,,,,"'Pick-up and Deliver',"
2964,Pieces as Map,Map,Movement,Map,,,,"'Map',"
2685,Player Elimination,Other,Combat and Conflict,Combat and Conflict,,,,"'Combat and Conflict',"
2865,Player Judge,Other,,Social Interaction,,,,"'Social Interaction',"
2078,Point to Point Movement,Movement,Movement,Movement,,,,"'Movement',"
3006,Predictive Bid,Auction/Bidding,Game Progression,Auction/Bidding,,,,"'Auction/Bidding',"
2858,Prisoner's Dilemma,Other,Combat and Conflict,Miscellaneous,,,,"'Miscellaneous',"
2953,Programmed Movement,Movement,Movement,Movement,,,,"'Movement',"
2661,Push Your Luck,Push Your Luck,,Push Your Luck,,,,"'Push Your Luck',"
3102,Questions and Answers,Other,Social Interaction,Social Interaction,,,,"'Social Interaction',"
2876,Race,Game Progression,Game Progression,Game Progression,,,,"'Game Progression',"
2909,Random Production,Other,Resource Management,Resource Management,,,,"'Resource Management',"
2855,Ratio / Combat Results Table,Combat and Conflict,Combat and Conflict,Combat and Conflict,,,,"'Combat and Conflict',"
2831,Real-Time,Game Progression,Game Progression,Game Progression,,,,"'Game Progression',"
2954,Relative Movement,Dice Rolling,Movement,Movement,,,,"'Movement',"
2870,Re-rolling and Locking,Dice Rolling,Miscellaneous,Dice Rolling,,,,"'Dice Rolling',"
3103,Resource Queue,Other,,Resource Management,,,,"'Resource Management',"
2948,Resource to Move,Pick-up and Deliver,Resource Management,Resource Management,,,,"'Resource Management',"
2003,Rock-Paper-Scissors,Combat and Conflict,Combat and Conflict,Combat and Conflict,,,,"'Combat and Conflict',"
2028,Role Playing,Role Playing,Miscellaneous,Role Playing,,,,"'Role Playing',"
2892,Roles with Asymmetric Information,Asymetric Powers,,Asymetric Powers,,,,"'Asymetric Powers',"
2035,Roll / Spin and Move,Dice Rolling,Miscellaneous,Dice Rolling,,,,"'Dice Rolling',"
2813,Rondel,Other,,Miscellaneous,,,,"'Miscellaneous',"
2822,Scenario / Mission / Campaign Game,Campaign Game,Miscellaneous,Campaign Game,,,,"'Campaign Game',"
2823,Score-and-Reset Game,Other,Game Progression,Game Progression,,,,"'Game Progression',"
2016,Secret Unit Deployment,Combat and Conflict,Combat and Conflict,Combat and Conflict,,,,"'Combat and Conflict',"
2926,Selection Order Bid,Auction/Bidding,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2820,Semi-Cooperative Game,Cooperative Game,Combat and Conflict,Cooperative Game,,,,"'Cooperative Game',"
2004,Set Collection,Pick-up and Deliver,Resource Management,Pick-up and Deliver,,,,"'Pick-up and Deliver',"
2070,Simulation,Simulation,Resource Management,Simulation,,,,"'Simulation',"
2020,Simultaneous Action Selection,Simultaneous,,Simultaneous,,,,"'Simultaneous',"
2038,Singing,Other,,Miscellaneous,,,,"'Miscellaneous',"
2821,Single Loser Game,Other,Combat and Conflict,Combat and Conflict,,,,"'Combat and Conflict',"
3005,Slide/Push,Other,,Spatial,,,,"'Spatial',"
2819,Solo / Solitaire Game,Solo Game,Miscellaneous,Solo Game,,,,"'Solo Game',"
2991,Speed Matching,Other,Game Progression,Matching,,,,"'Matching',"
2940,Square Grid,Grid,,Grid,,,,"'Grid',"
2988,Stacking and Balancing,Dexterity,,Spatial,,,,"'Spatial',"
2853,Stat Check Resolution,Role Playing,,Role Playing,,,,"'Role Playing',"
2861,Static Capture,Other,,Combat and Conflict,,,,"'Combat and Conflict',"
2005,Stock Holding,Investment,Resource Management,Investment,,,,"'Investment',"
2027,Storytelling,Role Playing,Miscellaneous,Role Playing,,,,"'Role Playing',"
2884,Sudden Death Ending,Other,,Miscellaneous,,,,"'Miscellaneous',"
3100,Tags,Other,,Miscellaneous,,,,"'Miscellaneous',"
2686,Take That,Combat and Conflict,Combat and Conflict,Combat and Conflict,,,,"'Combat and Conflict',"
2866,Targeted Clues,Other,,Deduction,,,,"'Deduction',"
2019,Team-Based Game,Cooperative Game,,Cooperative Game,,,,"'Cooperative Game',"
2849,Tech Trees / Tech Tracks,Tracks,,Tracks,,,,"'Tracks',"
2944,Three Dimensional Movement,Movement,Movement,Movement,,,,"'Movement',"
2002,Tile Placement,Tile Placement,Spatial,Tile Placement,,,,"'Tile Placement',"
2939,Track Movement,Tracks,,Tracks,,,,"'Tracks',"
2008,Trading,Resource Management,Resource Management,Resource Management,,,,"'Resource Management',"
2814,Traitor Game,Bluffing,Combat and Conflict,Bluffing,,,,"'Bluffing',"
2009,Trick-taking,Bluffing,Combat and Conflict,Bluffing,,,,"'Bluffing',"
2888,Tug of War,Other,Game Progression,Combat and Conflict,,,,"'Combat and Conflict',"
2827,Turn Order: Auction,Other,Auction,Auction/Bidding,,,,"'Auction/Bidding',"
2829,Turn Order: Claim Action,Other,Game Progression,Game Progression,,,,"'Game Progression',"
2830,Turn Order: Pass Order,Other,Game Progression,Game Progression,,,,"'Game Progression',"
2828,Turn Order: Progressive,Other,Game Progression,Game Progression,,,,"'Game Progression',"
2985,Turn Order: Random,Other,Game Progression,Game Progression,,,,"'Game Progression',"
2833,Turn Order: Role Order,Other,Game Progression,Game Progression,,,,"'Game Progression',"
2826,Turn Order: Stat-Based,Other,Game Progression,Game Progression,,,,"'Game Progression',"
2663,Turn Order: Time Track,Other,Game Progression,Game Progression,,,,"'Game Progression',"
2079,Variable Phase Order,Variable game,,Variable game,,,,"'Variable game',"
2015,Variable Player Powers,Asymetric Powers,Combat and Conflict,Asymetric Powers,,,,"'Asymetric Powers',"
2897,Variable Set-up,Variable game,,Variable game,,,,"'Variable game',"
2874,Victory Points as a Resource,Other,Combat and Conflict,Miscellaneous,,,,"'Miscellaneous',"
2017,Voting,Social Interaction,Social Interaction,Social Interaction,,,,"'Social Interaction',"
2082,Worker Placement,Worker Placement,Worker Placement,Worker Placement,,,,"'Worker Placement',"
2935,Worker Placement with Dice Workers,Worker Placement,Worker Placement,Worker Placement,,,,"'Worker Placement',"
2933,"Worker Placement, Different Worker Types",Worker Placement,Worker Placement,Worker Placement,,,,"'Worker Placement',"
2974,Zone of Control,Control,Movement,Control,,,,"'Control',"
,,,,,,,,
,,,,,,,,"'Role Playing','Drafting','Action','Queue','Action','Action','Action','Miscellaneous','Social Interaction','Control','Movement','Movement','Auction/Bidding','Auction/Bidding','Auction/Bidding','Auction/Bidding','Auction/Bidding','Auction/Bidding','Auction/Bidding','Auction/Bidding','Auction/Bidding','Auction/Bidding','Auction/Bidding','Resource Management','Bluffing','Asymetric Powers','Auction/Bidding','Miscellaneous','Social Interaction','Combat and Conflict','Combat and Conflict','Game Progression','Movement','Deck, Bag, and Pool Building','Drafting','Auction/Bidding','Deck, Bag, and Pool Building','Investment','Social Interaction','Spatial','Auction/Bidding','Pick-up and Deliver','Cooperative Game','Miscellaneous','Combat and Conflict','Spatial','Deck, Bag, and Pool Building','Deck, Bag, and Pool Building','Deduction','Resource Management','Dice Rolling','Dice Rolling','Dice Rolling','Miscellaneous','Game Progression','Resource Management','End Game Bonuses','Events','Miscellaneous','Miscellaneous','Miscellaneous','Miscellaneous','Grid','Grid','Deck, Bag, and Pool Building','Grid','Movement','Asymetric Powers','Asymetric Powers','Game Progression','Miscellaneous','Miscellaneous','Movement','Resource Management','Resource Management','Miscellaneous','Miscellaneous','Investment','Combat and Conflict','Game Progression','Movement','Spatial','Miscellaneous','Miscellaneous','Combat and Conflict','Investment','Miscellaneous','Movement','Map','Map','Map','Resource Management','Matching','Movement','Miscellaneous','Matching','Map','Variable game','Deck, Bag, and Pool Building','Movement','Movement','Combat and Conflict','Map','Deck, Bag, and Pool Building','Role Playing','Negotiation','Miscellaneous','Resource Management','Asymetric Powers','Drafting','Miscellaneous','Miscellaneous','Control','Miscellaneous','Miscellaneous','Matching','Matching','Matching','Spatial','Pick-up and Deliver','Map','Combat and Conflict','Social Interaction','Movement','Auction/Bidding','Miscellaneous','Movement','Push Your Luck','Social Interaction','Game Progression','Resource Management','Combat and Conflict','Game Progression','Movement','Dice Rolling','Resource Management','Resource Management','Combat and Conflict','Role Playing','Asymetric Powers','Dice Rolling','Miscellaneous','Campaign Game','Game Progression','Combat and Conflict','Auction/Bidding','Cooperative Game','Pick-up and Deliver','Simulation','Simultaneous','Miscellaneous','Combat and Conflict','Spatial','Solo Game','Matching','Grid','Spatial','Role Playing','Combat and Conflict','Investment','Role Playing','Miscellaneous','Miscellaneous','Combat and Conflict','Deduction','Cooperative Game','Tracks','Movement','Tile Placement','Tracks','Resource Management','Bluffing','Bluffing','Combat and Conflict','Auction/Bidding','Game Progression','Game Progression','Game Progression','Game Progression','Game Progression','Game Progression','Game Progression','Variable game','Asymetric Powers','Variable game','Miscellaneous','Social Interaction','Worker Placement','Worker Placement','Worker Placement','Control',"
